shop_name,category,name_product,product_id,url_product,main_ingredient,attributes,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,is_premium,rarity_score
Лукино,Мясо и птица,домашняя телятина 1 кг.,60598,https://svoe-rodnoe.ru/category/govjadina/10872-106-domashnjaja-teljatina-1-kg,телятина,"[""домашний""]",1,1,1,1,1,1,1,1,1,1,1,1,0,1
Лукино,Мясо и птица,запеченная утка 2 кг.,60980,https://svoe-rodnoe.ru/category/mjasnye-delikatesy/10872-2365-zapechennaja-utka-2-kg,утка,"[""запечь""]",0,0,0,0,0,0,0,0,1,1,1,0,0,10
Лукино,Мясо и птица,запеченный гусь 4 кг.,60978,https://svoe-rodnoe.ru/category/mjasnye-delikatesy/10872-188-zapechennyj-gus-4-kg,гусь,"[""запечь""]",0,0,0,0,0,0,0,0,0,0,1,0,0,12
Лукино,Мясо и птица,заяц 3 кг.,60590,https://svoe-rodnoe.ru/category/krolik/10872-4727-zajac-3-kg,заяц,[],1,1,0,0,0,0,0,0,0,1,1,1,1,8
Лукино,Мясо и птица,индюшиные желудки 1 кг.,60922,https://svoe-rodnoe.ru/category/indejka/10872-4606-indjushinye-zheludki-1-kg,желудок,"[""индюшиный""]",1,1,1,1,1,1,1,1,1,1,1,1,0,1
Лукино,Мясо и птица,копченая рулька 1 кг.,60868,https://svoe-rodnoe.ru/category/svinina/10872-4666-kopchenaja-rul-ka-1-kg,рулька,"[""копчёный""]",1,1,1,1,1,1,1,1,1,1,1,1,0,1
Лукино,Мясо и птица,"корейка оленя 0,5 кг.",60987,https://svoe-rodnoe.ru/category/dich/10872-4293-korejka-olenja-0-5-kg,корейка,"[""олень""]",1,1,1,1,1,1,1,1,1,1,1,1,0,1
Лукино,Мясо и птица,"крученое сало с чесноком и зеленью 0,2 кг.",60871,https://svoe-rodnoe.ru/category/salo/10872-334-kruchenoe-salo-s-chesnokom-i-zelen-ju-0-2-kg,сало,"[""кручёный"", ""чеснок"", ""зелень""]",1,1,1,1,1,1,1,1,1,1,1,1,0,1
Лукино,Мясо и птица,крылья индейки 1 кг.,60914,https://svoe-rodnoe.ru/category/indejka/10872-4588-kryl-ja-indejki-1-kg,крыло,"[""индейка""]",1,1,1,1,1,1,1,1,1,1,1,1,0,1
Лукино,Мясо и птица,"куриная печень 0,25 кг.",60906,https://svoe-rodnoe.ru/category/chicken/10872-907-kurinaja-pechen-0-25-kg,печень,"[""куриный""]",1,1,1,1,1,1,1,1,1,1,1,1,0,1
